Experiment,Batch,Day,iVCC,pH_setpoint,pH_setpoint_low,pH_setpoint_high,Temperature,Bolus_Feed,Normalized_Bolus_Feed,Volume
MPC25-001,MPC25-001-001,0,1.5,6.9,6.75,7.05,36.5,0,0,200
MPC25-001,MPC25-001-001,1,1.5,6.9,6.75,7.05,36.5,0,0,202.8233333
MPC25-001,MPC25-001-001,2,1.5,6.9,6.75,7.05,36.5,0,0,205.66
MPC25-001,MPC25-001-001,3,1.5,6.9,6.75,7.05,36.5,9.572727273,0.045772459,209.1372727
MPC25-001,MPC25-001-001,4,1.5,6.9,6.75,7.05,36.5,0,0,204.2772727
MPC25-001,MPC25-001-001,5,1.5,6.9,6.75,7.05,36.5,0,0,207.0472727
MPC25-001,MPC25-001-001,6,1.5,6.9,6.75,7.05,35,12.02727273,0.057134467,210.5081818
MPC25-001,MPC25-001-001,7,1.5,6.9,6.75,7.05,35,0,0,203.7481818
MPC25-001,MPC25-001-001,8,1.5,6.9,6.75,7.05,35,12.02727273,0.057683692,208.5038636
MPC25-001,MPC25-001-001,9,1.5,6.9,6.75,7.05,35,0,0,201.7838636
MPC25-001,MPC25-001-001,10,1.5,6.9,6.75,7.05,35,10.8,0.052575037,205.4206818
MPC25-001,MPC25-001-001,11,1.5,6.9,6.75,7.05,35,0,0,199.6806818
MPC25-001,MPC25-001-001,12,1.5,6.9,6.75,7.05,35,9.572727273,0.047070341,203.3706818
MPC25-001,MPC25-001-001,13,1.5,6.9,6.75,7.05,35,0,0,198.5806818
MPC25-001,MPC25-001-001,14,1.5,6.9,6.75,7.05,35,0,0,204.3206818
MPC25-001,MPC25-001-002,0,1.5,7.3,7.15,7.45,36.5,0,0,200
MPC25-001,MPC25-001-002,1,1.5,7.3,7.15,7.45,36.5,0,0,202.8233333
MPC25-001,MPC25-001-002,2,1.5,7.3,7.15,7.45,36.5,0,0,205.66
MPC25-001,MPC25-001-002,3,1.5,7.3,7.15,7.45,36.5,6.027272727,0.028998269,207.8493939
MPC25-001,MPC25-001-002,4,1.5,7.3,7.15,7.45,35,0,0,202.9893939
MPC25-001,MPC25-001-002,5,1.5,7.3,7.15,7.45,35,0,0,205.7593939
MPC25-001,MPC25-001-002,6,1.5,7.3,7.15,7.45,35,7.572727273,0.036418113,207.9384848
MPC25-001,MPC25-001-002,7,1.5,7.3,7.15,7.45,35,0,0,201.1784848
MPC25-001,MPC25-001-002,8,1.5,7.3,7.15,7.45,35,7.572727273,0.037089794,204.172803
MPC25-001,MPC25-001-002,9,1.5,7.3,7.15,7.45,35,0,0,197.452803
MPC25-001,MPC25-001-002,10,1.5,7.3,7.15,7.45,35,6.8,0.034043806,199.7426515
MPC25-001,MPC25-001-002,11,1.5,7.3,7.15,7.45,35,0,0,194.0026515
MPC25-001,MPC25-001-002,12,1.5,7.3,7.15,7.45,35,6.027272727,0.030700331,196.3259848
MPC25-001,MPC25-001-002,13,1.5,7.3,7.15,7.45,35,0,0,191.5359848
MPC25-001,MPC25-001-002,14,1.5,7.3,7.15,7.45,35,0,0,197.2759848
MPC25-001,MPC25-001-003,0,1.5,7.3,7.15,7.45,36.5,0,0,200
MPC25-001,MPC25-001-003,1,1.5,7.3,7.15,7.45,36.5,0,0,202.8233333
MPC25-001,MPC25-001-003,2,1.5,7.3,7.15,7.45,36.5,0,0,205.66
MPC25-001,MPC25-001-003,3,1.5,7.3,7.15,7.45,36.5,6.027272727,0.028998269,207.8493939
MPC25-001,MPC25-001-003,4,1.5,7.3,7.15,7.45,35,0,0,202.9893939
MPC25-001,MPC25-001-003,5,1.5,7.3,7.15,7.45,35,0,0,205.7593939
MPC25-001,MPC25-001-003,6,1.5,7.3,7.15,7.45,35,7.572727273,0.036418113,207.9384848
MPC25-001,MPC25-001-003,7,1.5,7.3,7.15,7.45,35,0,0,201.1784848
MPC25-001,MPC25-001-003,8,1.5,7.3,7.15,7.45,35,7.572727273,0.037089794,204.172803
MPC25-001,MPC25-001-003,9,1.5,7.3,7.15,7.45,35,0,0,197.452803
MPC25-001,MPC25-001-003,10,1.5,7.3,7.15,7.45,35,6.8,0.034043806,199.7426515
MPC25-001,MPC25-001-003,11,1.5,7.3,7.15,7.45,35,0,0,194.0026515
MPC25-001,MPC25-001-003,12,1.5,7.3,7.15,7.45,35,6.027272727,0.030700331,196.3259848
MPC25-001,MPC25-001-003,13,1.5,7.3,7.15,7.45,35,0,0,191.5359848
MPC25-001,MPC25-001-003,14,1.5,7.3,7.15,7.45,35,0,0,197.2759848
MPC25-001,MPC25-001-004,0,1.5,6.9,6.75,7.05,36.5,0,0,200
MPC25-001,MPC25-001-004,1,1.5,6.9,6.75,7.05,36.5,0,0,202.8233333
MPC25-001,MPC25-001-004,2,1.5,6.9,6.75,7.05,36.5,0,0,205.66
MPC25-001,MPC25-001-004,3,1.5,6.9,6.75,7.05,36.5,9.572727273,0.045772459,209.1372727
MPC25-001,MPC25-001-004,4,1.5,6.9,6.75,7.05,35,0,0,204.2772727
MPC25-001,MPC25-001-004,5,1.5,6.9,6.75,7.05,35,0,0,207.0472727
MPC25-001,MPC25-001-004,6,1.5,6.9,6.75,7.05,35,12.02727273,0.057134467,210.5081818
MPC25-001,MPC25-001-004,7,1.5,6.9,6.75,7.05,35,0,0,203.7481818
MPC25-001,MPC25-001-004,8,1.5,6.9,6.75,7.05,35,12.02727273,0.057683692,208.5038636
MPC25-001,MPC25-001-004,9,1.5,6.9,6.75,7.05,35,0,0,201.7838636
MPC25-001,MPC25-001-004,10,1.5,6.9,6.75,7.05,35,10.8,0.052575037,205.4206818
MPC25-001,MPC25-001-004,11,1.5,6.9,6.75,7.05,35,0,0,199.6806818
MPC25-001,MPC25-001-004,12,1.5,6.9,6.75,7.05,35,9.572727273,0.047070341,203.3706818
MPC25-001,MPC25-001-004,13,1.5,6.9,6.75,7.05,35,0,0,198.5806818
MPC25-001,MPC25-001-004,14,1.5,6.9,6.75,7.05,35,0,0,204.3206818
MPC25-001,MPC25-001-005,0,1,7.1,6.95,7.25,36.5,0,0,200
MPC25-001,MPC25-001-005,1,1,7.1,6.95,7.25,36.5,0,0,202.8233333
MPC25-001,MPC25-001-005,2,1,7.1,6.95,7.25,36.5,0,0,205.66
MPC25-001,MPC25-001-005,3,1,7.1,6.95,7.25,36.5,7.8,0.037411268,208.4933333
MPC25-001,MPC25-001-005,4,1,7.1,6.95,7.25,36.5,0,0,203.6333333
MPC25-001,MPC25-001-005,5,1,7.1,6.95,7.25,35,0,0,206.4033333
MPC25-001,MPC25-001-005,6,1,7.1,6.95,7.25,35,9.8,0.0468399,209.2233333
MPC25-001,MPC25-001-005,7,1,7.1,6.95,7.25,35,0,0,202.4633333
MPC25-001,MPC25-001-005,8,1,7.1,6.95,7.25,35,9.8,0.04749481,206.3383333
MPC25-001,MPC25-001-005,9,1,7.1,6.95,7.25,35,0,0,199.6183333
MPC25-001,MPC25-001-005,10,1,7.1,6.95,7.25,35,8.8,0.043439271,202.5816667
MPC25-001,MPC25-001-005,11,1,7.1,6.95,7.25,35,0,0,196.8416667
MPC25-001,MPC25-001-005,12,1,7.1,6.95,7.25,35,7.8,0.039029597,199.8483333
MPC25-001,MPC25-001-005,13,1,7.1,6.95,7.25,35,0,0,195.0583333
MPC25-001,MPC25-001-005,14,1,7.1,6.95,7.25,35,0,0,200.7983333
MPC25-001,MPC25-001-006,0,0.5,7.3,7.15,7.45,36.5,0,0,200
MPC25-001,MPC25-001-006,1,0.5,7.3,7.15,7.45,36.5,0,0,202.8233333
MPC25-001,MPC25-001-006,2,0.5,7.3,7.15,7.45,36.5,0,0,205.66
MPC25-001,MPC25-001-006,3,0.5,7.3,7.15,7.45,36.5,6.027272727,0.028998269,207.8493939
MPC25-001,MPC25-001-006,4,0.5,7.3,7.15,7.45,36.5,0,0,202.9893939
MPC25-001,MPC25-001-006,5,0.5,7.3,7.15,7.45,36.5,0,0,205.7593939
MPC25-001,MPC25-001-006,6,0.5,7.3,7.15,7.45,35,7.572727273,0.036418113,207.9384848
MPC25-001,MPC25-001-006,7,0.5,7.3,7.15,7.45,35,0,0,201.1784848
MPC25-001,MPC25-001-006,8,0.5,7.3,7.15,7.45,35,7.572727273,0.037089794,204.172803
MPC25-001,MPC25-001-006,9,0.5,7.3,7.15,7.45,35,0,0,197.452803
MPC25-001,MPC25-001-006,10,0.5,7.3,7.15,7.45,35,6.8,0.034043806,199.7426515
MPC25-001,MPC25-001-006,11,0.5,7.3,7.15,7.45,35,0,0,194.0026515
MPC25-001,MPC25-001-006,12,0.5,7.3,7.15,7.45,35,6.027272727,0.030700331,196.3259848
MPC25-001,MPC25-001-006,13,0.5,7.3,7.15,7.45,35,0,0,191.5359848
MPC25-001,MPC25-001-006,14,0.5,7.3,7.15,7.45,35,0,0,197.2759848
MPC25-001,MPC25-001-007,0,1.5,7.3,7.15,7.45,36.5,0,0,200
MPC25-001,MPC25-001-007,1,1.5,7.3,7.15,7.45,36.5,0,0,202.8233333
MPC25-001,MPC25-001-007,2,1.5,7.3,7.15,7.45,36.5,0,0,205.66
MPC25-001,MPC25-001-007,3,1.5,7.3,7.15,7.45,36.5,9.572727273,0.045772459,209.1372727
MPC25-001,MPC25-001-007,4,1.5,7.3,7.15,7.45,35,0,0,204.2772727
MPC25-001,MPC25-001-007,5,1.5,7.3,7.15,7.45,35,0,0,207.0472727
MPC25-001,MPC25-001-007,6,1.5,7.3,7.15,7.45,35,12.02727273,0.057134467,210.5081818
MPC25-001,MPC25-001-007,7,1.5,7.3,7.15,7.45,35,0,0,203.7481818
MPC25-001,MPC25-001-007,8,1.5,7.3,7.15,7.45,35,12.02727273,0.057683692,208.5038636
MPC25-001,MPC25-001-007,9,1.5,7.3,7.15,7.45,35,0,0,201.7838636
MPC25-001,MPC25-001-007,10,1.5,7.3,7.15,7.45,35,10.8,0.052575037,205.4206818
MPC25-001,MPC25-001-007,11,1.5,7.3,7.15,7.45,35,0,0,199.6806818
MPC25-001,MPC25-001-007,12,1.5,7.3,7.15,7.45,35,9.572727273,0.047070341,203.3706818
MPC25-001,MPC25-001-007,13,1.5,7.3,7.15,7.45,35,0,0,198.5806818
MPC25-001,MPC25-001-007,14,1.5,7.3,7.15,7.45,35,0,0,204.3206818
MPC25-001,MPC25-001-008,0,0.5,7.3,7.15,7.45,36.5,0,0,200
MPC25-001,MPC25-001-008,1,0.5,7.3,7.15,7.45,36.5,0,0,202.8233333
MPC25-001,MPC25-001-008,2,0.5,7.3,7.15,7.45,36.5,0,0,205.66
MPC25-001,MPC25-001-008,3,0.5,7.3,7.15,7.45,36.5,6.027272727,0.028998269,207.8493939
MPC25-001,MPC25-001-008,4,0.5,7.3,7.15,7.45,36.5,0,0,202.9893939
MPC25-001,MPC25-001-008,5,0.5,7.3,7.15,7.45,36.5,0,0,205.7593939
MPC25-001,MPC25-001-008,6,0.5,7.3,7.15,7.45,35,7.572727273,0.036418113,207.9384848
MPC25-001,MPC25-001-008,7,0.5,7.3,7.15,7.45,35,0,0,201.1784848
MPC25-001,MPC25-001-008,8,0.5,7.3,7.15,7.45,35,7.572727273,0.037089794,204.172803
MPC25-001,MPC25-001-008,9,0.5,7.3,7.15,7.45,35,0,0,197.452803
MPC25-001,MPC25-001-008,10,0.5,7.3,7.15,7.45,35,6.8,0.034043806,199.7426515
MPC25-001,MPC25-001-008,11,0.5,7.3,7.15,7.45,35,0,0,194.0026515
MPC25-001,MPC25-001-008,12,0.5,7.3,7.15,7.45,35,6.027272727,0.030700331,196.3259848
MPC25-001,MPC25-001-008,13,0.5,7.3,7.15,7.45,35,0,0,191.5359848
MPC25-001,MPC25-001-008,14,0.5,7.3,7.15,7.45,35,0,0,197.2759848
MPC25-001,MPC25-001-009,0,0.5,6.9,6.75,7.05,36.5,0,0,200
MPC25-001,MPC25-001-009,1,0.5,6.9,6.75,7.05,36.5,0,0,202.8233333
MPC25-001,MPC25-001-009,2,0.5,6.9,6.75,7.05,36.5,0,0,205.66
MPC25-001,MPC25-001-009,3,0.5,6.9,6.75,7.05,36.5,9.572727273,0.045772459,209.1372727
MPC25-001,MPC25-001-009,4,0.5,6.9,6.75,7.05,35,0,0,204.2772727
MPC25-001,MPC25-001-009,5,0.5,6.9,6.75,7.05,35,0,0,207.0472727
MPC25-001,MPC25-001-009,6,0.5,6.9,6.75,7.05,35,12.02727273,0.057134467,210.5081818
MPC25-001,MPC25-001-009,7,0.5,6.9,6.75,7.05,35,0,0,203.7481818
MPC25-001,MPC25-001-009,8,0.5,6.9,6.75,7.05,35,12.02727273,0.057683692,208.5038636
MPC25-001,MPC25-001-009,9,0.5,6.9,6.75,7.05,35,0,0,201.7838636
MPC25-001,MPC25-001-009,10,0.5,6.9,6.75,7.05,35,10.8,0.052575037,205.4206818
MPC25-001,MPC25-001-009,11,0.5,6.9,6.75,7.05,35,0,0,199.6806818
MPC25-001,MPC25-001-009,12,0.5,6.9,6.75,7.05,35,9.572727273,0.047070341,203.3706818
MPC25-001,MPC25-001-009,13,0.5,6.9,6.75,7.05,35,0,0,198.5806818
MPC25-001,MPC25-001-009,14,0.5,6.9,6.75,7.05,35,0,0,204.3206818
MPC25-001,MPC25-001-010,0,1.5,6.9,6.75,7.05,36.5,0,0,200
MPC25-001,MPC25-001-010,1,1.5,6.9,6.75,7.05,36.5,0,0,202.8233333
MPC25-001,MPC25-001-010,2,1.5,6.9,6.75,7.05,36.5,0,0,205.66
MPC25-001,MPC25-001-010,3,1.5,6.9,6.75,7.05,36.5,9.572727273,0.045772459,209.1372727
MPC25-001,MPC25-001-010,4,1.5,6.9,6.75,7.05,35,0,0,204.2772727
MPC25-001,MPC25-001-010,5,1.5,6.9,6.75,7.05,35,0,0,207.0472727
MPC25-001,MPC25-001-010,6,1.5,6.9,6.75,7.05,35,12.02727273,0.057134467,210.5081818
MPC25-001,MPC25-001-010,7,1.5,6.9,6.75,7.05,35,0,0,203.7481818
MPC25-001,MPC25-001-010,8,1.5,6.9,6.75,7.05,35,12.02727273,0.057683692,208.5038636
MPC25-001,MPC25-001-010,9,1.5,6.9,6.75,7.05,35,0,0,201.7838636
MPC25-001,MPC25-001-010,10,1.5,6.9,6.75,7.05,35,10.8,0.052575037,205.4206818
MPC25-001,MPC25-001-010,11,1.5,6.9,6.75,7.05,35,0,0,199.6806818
MPC25-001,MPC25-001-010,12,1.5,6.9,6.75,7.05,35,9.572727273,0.047070341,203.3706818
MPC25-001,MPC25-001-010,13,1.5,6.9,6.75,7.05,35,0,0,198.5806818
MPC25-001,MPC25-001-010,14,1.5,6.9,6.75,7.05,35,0,0,204.3206818
MPC25-001,MPC25-001-011,0,1,7.1,6.95,7.25,36.5,0,0,200
MPC25-001,MPC25-001-011,1,1,7.1,6.95,7.25,36.5,0,0,202.8233333
MPC25-001,MPC25-001-011,2,1,7.1,6.95,7.25,36.5,0,0,205.66
MPC25-001,MPC25-001-011,3,1,7.1,6.95,7.25,36.5,7.8,0.037411268,208.4933333
MPC25-001,MPC25-001-011,4,1,7.1,6.95,7.25,36.5,0,0,203.6333333
MPC25-001,MPC25-001-011,5,1,7.1,6.95,7.25,35,0,0,206.4033333
MPC25-001,MPC25-001-011,6,1,7.1,6.95,7.25,35,9.8,0.0468399,209.2233333
MPC25-001,MPC25-001-011,7,1,7.1,6.95,7.25,35,0,0,202.4633333
MPC25-001,MPC25-001-011,8,1,7.1,6.95,7.25,35,9.8,0.04749481,206.3383333
MPC25-001,MPC25-001-011,9,1,7.1,6.95,7.25,35,0,0,199.6183333
MPC25-001,MPC25-001-011,10,1,7.1,6.95,7.25,35,8.8,0.043439271,202.5816667
MPC25-001,MPC25-001-011,11,1,7.1,6.95,7.25,35,0,0,196.8416667
MPC25-001,MPC25-001-011,12,1,7.1,6.95,7.25,35,7.8,0.039029597,199.8483333
MPC25-001,MPC25-001-011,13,1,7.1,6.95,7.25,35,0,0,195.0583333
MPC25-001,MPC25-001-011,14,1,7.1,6.95,7.25,35,0,0,200.7983333
MPC25-001,MPC25-001-012,0,1.5,6.9,6.75,7.05,36.5,0,0,200
MPC25-001,MPC25-001-012,1,1.5,6.9,6.75,7.05,36.5,0,0,202.8233333
MPC25-001,MPC25-001-012,2,1.5,6.9,6.75,7.05,36.5,0,0,205.66
MPC25-001,MPC25-001-012,3,1.5,6.9,6.75,7.05,36.5,9.572727273,0.045772459,209.1372727
MPC25-001,MPC25-001-012,4,1.5,6.9,6.75,7.05,36.5,0,0,204.2772727
MPC25-001,MPC25-001-012,5,1.5,6.9,6.75,7.05,36.5,0,0,207.0472727
MPC25-001,MPC25-001-012,6,1.5,6.9,6.75,7.05,35,12.02727273,0.057134467,210.5081818
MPC25-001,MPC25-001-012,7,1.5,6.9,6.75,7.05,35,0,0,203.7481818
MPC25-001,MPC25-001-012,8,1.5,6.9,6.75,7.05,35,12.02727273,0.057683692,208.5038636
MPC25-001,MPC25-001-012,9,1.5,6.9,6.75,7.05,35,0,0,201.7838636
MPC25-001,MPC25-001-012,10,1.5,6.9,6.75,7.05,35,10.8,0.052575037,205.4206818
MPC25-001,MPC25-001-012,11,1.5,6.9,6.75,7.05,35,0,0,199.6806818
MPC25-001,MPC25-001-012,12,1.5,6.9,6.75,7.05,35,9.572727273,0.047070341,203.3706818
MPC25-001,MPC25-001-012,13,1.5,6.9,6.75,7.05,35,0,0,198.5806818
MPC25-001,MPC25-001-012,14,1.5,6.9,6.75,7.05,35,0,0,204.3206818
MPC25-001,MPC25-001-013,0,1.5,6.9,6.75,7.05,36.5,0,0,200
MPC25-001,MPC25-001-013,1,1.5,6.9,6.75,7.05,36.5,0,0,202.8233333
MPC25-001,MPC25-001-013,2,1.5,6.9,6.75,7.05,36.5,0,0,205.66
MPC25-001,MPC25-001-013,3,1.5,6.9,6.75,7.05,36.5,6.027272727,0.028998269,207.8493939
MPC25-001,MPC25-001-013,4,1.5,6.9,6.75,7.05,36.5,0,0,202.9893939
MPC25-001,MPC25-001-013,5,1.5,6.9,6.75,7.05,36.5,0,0,205.7593939
MPC25-001,MPC25-001-013,6,1.5,6.9,6.75,7.05,35,7.572727273,0.036418113,207.9384848
MPC25-001,MPC25-001-013,7,1.5,6.9,6.75,7.05,35,0,0,201.1784848
