Experiment,Batch,Day,iVCC,pH_setpoint,pH_setpoint_low,pH_setpoint_high,Temperature,Bolus_Feed,Normalized_Bolus_Feed,Volume
MPC25-001,MPC25-001-013,8,1.5,6.9,6.75,7.05,35,7.572727273,0.037089794,204.172803
MPC25-001,MPC25-001-013,9,1.5,6.9,6.75,7.05,35,0,0,197.452803
MPC25-001,MPC25-001-013,10,1.5,6.9,6.75,7.05,35,6.8,0.034043806,199.7426515
MPC25-001,MPC25-001-013,11,1.5,6.9,6.75,7.05,35,0,0,194.0026515
MPC25-001,MPC25-001-013,12,1.5,6.9,6.75,7.05,35,6.027272727,0.030700331,196.3259848
MPC25-001,MPC25-001-013,13,1.5,6.9,6.75,7.05,35,0,0,191.5359848
MPC25-001,MPC25-001-013,14,1.5,6.9,6.75,7.05,35,0,0,197.2759848
MPC25-001,MPC25-001-014,0,1.5,7.3,7.15,7.45,36.5,0,0,200
MPC25-001,MPC25-001-014,1,1.5,7.3,7.15,7.45,36.5,0,0,202.8233333
MPC25-001,MPC25-001-014,2,1.5,7.3,7.15,7.45,36.5,0,0,205.66
MPC25-001,MPC25-001-014,3,1.5,7.3,7.15,7.45,36.5,9.572727273,0.045772459,209.1372727
MPC25-001,MPC25-001-014,4,1.5,7.3,7.15,7.45,36.5,0,0,204.2772727
MPC25-001,MPC25-001-014,5,1.5,7.3,7.15,7.45,36.5,0,0,207.0472727
MPC25-001,MPC25-001-014,6,1.5,7.3,7.15,7.45,35,12.02727273,0.057134467,210.5081818
MPC25-001,MPC25-001-014,7,1.5,7.3,7.15,7.45,35,0,0,203.7481818
MPC25-001,MPC25-001-014,8,1.5,7.3,7.15,7.45,35,12.02727273,0.057683692,208.5038636
MPC25-001,MPC25-001-014,9,1.5,7.3,7.15,7.45,35,0,0,201.7838636
MPC25-001,MPC25-001-014,10,1.5,7.3,7.15,7.45,35,10.8,0.052575037,205.4206818
MPC25-001,MPC25-001-014,11,1.5,7.3,7.15,7.45,35,0,0,199.6806818
MPC25-001,MPC25-001-014,12,1.5,7.3,7.15,7.45,35,9.572727273,0.047070341,203.3706818
MPC25-001,MPC25-001-014,13,1.5,7.3,7.15,7.45,35,0,0,198.5806818
MPC25-001,MPC25-001-014,14,1.5,7.3,7.15,7.45,35,0,0,204.3206818
MPC25-001,MPC25-001-015,0,0.5,7.3,7.15,7.45,36.5,0,0,200
MPC25-001,MPC25-001-015,1,0.5,7.3,7.15,7.45,36.5,0,0,202.8233333
MPC25-001,MPC25-001-015,2,0.5,7.3,7.15,7.45,36.5,0,0,205.66
MPC25-001,MPC25-001-015,3,0.5,7.3,7.15,7.45,36.5,6.027272727,0.028998269,207.8493939
MPC25-001,MPC25-001-015,4,0.5,7.3,7.15,7.45,35,0,0,202.9893939
MPC25-001,MPC25-001-015,5,0.5,7.3,7.15,7.45,35,0,0,205.7593939
MPC25-001,MPC25-001-015,6,0.5,7.3,7.15,7.45,35,7.572727273,0.036418113,207.9384848
MPC25-001,MPC25-001-015,7,0.5,7.3,7.15,7.45,35,0,0,201.1784848
MPC25-001,MPC25-001-015,8,0.5,7.3,7.15,7.45,35,7.572727273,0.037089794,204.172803
MPC25-001,MPC25-001-015,9,0.5,7.3,7.15,7.45,35,0,0,197.452803
MPC25-001,MPC25-001-015,10,0.5,7.3,7.15,7.45,35,6.8,0.034043806,199.7426515
MPC25-001,MPC25-001-015,11,0.5,7.3,7.15,7.45,35,0,0,194.0026515
MPC25-001,MPC25-001-015,12,0.5,7.3,7.15,7.45,35,6.027272727,0.030700331,196.3259848
MPC25-001,MPC25-001-015,13,0.5,7.3,7.15,7.45,35,0,0,191.5359848
MPC25-001,MPC25-001-015,14,0.5,7.3,7.15,7.45,35,0,0,197.2759848
MPC25-001,MPC25-001-016,0,0.5,7.3,7.15,7.45,36.5,0,0,200
MPC25-001,MPC25-001-016,1,0.5,7.3,7.15,7.45,36.5,0,0,202.8233333
MPC25-001,MPC25-001-016,2,0.5,7.3,7.15,7.45,36.5,0,0,205.66
MPC25-001,MPC25-001-016,3,0.5,7.3,7.15,7.45,36.5,9.572727273,0.045772459,209.1372727
MPC25-001,MPC25-001-016,4,0.5,7.3,7.15,7.45,35,0,0,204.2772727
MPC25-001,MPC25-001-016,5,0.5,7.3,7.15,7.45,35,0,0,207.0472727
MPC25-001,MPC25-001-016,6,0.5,7.3,7.15,7.45,35,12.02727273,0.057134467,210.5081818
MPC25-001,MPC25-001-016,7,0.5,7.3,7.15,7.45,35,0,0,203.7481818
MPC25-001,MPC25-001-016,8,0.5,7.3,7.15,7.45,35,12.02727273,0.057683692,208.5038636
MPC25-001,MPC25-001-016,9,0.5,7.3,7.15,7.45,35,0,0,201.7838636
MPC25-001,MPC25-001-016,10,0.5,7.3,7.15,7.45,35,10.8,0.052575037,205.4206818
MPC25-001,MPC25-001-016,11,0.5,7.3,7.15,7.45,35,0,0,199.6806818
MPC25-001,MPC25-001-016,12,0.5,7.3,7.15,7.45,35,9.572727273,0.047070341,203.3706818
MPC25-001,MPC25-001-016,13,0.5,7.3,7.15,7.45,35,0,0,198.5806818
MPC25-001,MPC25-001-016,14,0.5,7.3,7.15,7.45,35,0,0,204.3206818
MPC25-001,MPC25-001-017,0,0.5,6.9,6.75,7.05,36.5,0,0,200
MPC25-001,MPC25-001-017,1,0.5,6.9,6.75,7.05,36.5,0,0,202.8233333
MPC25-001,MPC25-001-017,2,0.5,6.9,6.75,7.05,36.5,0,0,205.66
MPC25-001,MPC25-001-017,3,0.5,6.9,6.75,7.05,36.5,9.572727273,0.045772459,209.1372727
MPC25-001,MPC25-001-017,4,0.5,6.9,6.75,7.05,35,0,0,204.2772727
MPC25-001,MPC25-001-017,5,0.5,6.9,6.75,7.05,35,0,0,207.0472727
MPC25-001,MPC25-001-017,6,0.5,6.9,6.75,7.05,35,12.02727273,0.057134467,210.5081818
MPC25-001,MPC25-001-017,7,0.5,6.9,6.75,7.05,35,0,0,203.7481818
MPC25-001,MPC25-001-017,8,0.5,6.9,6.75,7.05,35,12.02727273,0.057683692,208.5038636
MPC25-001,MPC25-001-017,9,0.5,6.9,6.75,7.05,35,0,0,201.7838636
MPC25-001,MPC25-001-017,10,0.5,6.9,6.75,7.05,35,10.8,0.052575037,205.4206818
MPC25-001,MPC25-001-017,11,0.5,6.9,6.75,7.05,35,0,0,199.6806818
MPC25-001,MPC25-001-017,12,0.5,6.9,6.75,7.05,35,9.572727273,0.047070341,203.3706818
MPC25-001,MPC25-001-017,13,0.5,6.9,6.75,7.05,35,0,0,198.5806818
MPC25-001,MPC25-001-017,14,0.5,6.9,6.75,7.05,35,0,0,204.3206818
MPC25-001,MPC25-001-018,0,0.5,7.3,7.15,7.45,36.5,0,0,200
MPC25-001,MPC25-001-018,1,0.5,7.3,7.15,7.45,36.5,0,0,202.8233333
MPC25-001,MPC25-001-018,2,0.5,7.3,7.15,7.45,36.5,0,0,205.66
MPC25-001,MPC25-001-018,3,0.5,7.3,7.15,7.45,36.5,9.572727273,0.045772459,209.1372727
MPC25-001,MPC25-001-018,4,0.5,7.3,7.15,7.45,36.5,0,0,204.2772727
MPC25-001,MPC25-001-018,5,0.5,7.3,7.15,7.45,36.5,0,0,207.0472727
MPC25-001,MPC25-001-018,6,0.5,7.3,7.15,7.45,35,12.02727273,0.057134467,210.5081818
MPC25-001,MPC25-001-018,7,0.5,7.3,7.15,7.45,35,0,0,203.7481818
MPC25-001,MPC25-001-018,8,0.5,7.3,7.15,7.45,35,12.02727273,0.057683692,208.5038636
MPC25-001,MPC25-001-018,9,0.5,7.3,7.15,7.45,35,0,0,201.7838636
MPC25-001,MPC25-001-018,10,0.5,7.3,7.15,7.45,35,10.8,0.052575037,205.4206818
MPC25-001,MPC25-001-018,11,0.5,7.3,7.15,7.45,35,0,0,199.6806818
MPC25-001,MPC25-001-018,12,0.5,7.3,7.15,7.45,35,9.572727273,0.047070341,203.3706818
MPC25-001,MPC25-001-018,13,0.5,7.3,7.15,7.45,35,0,0,198.5806818
MPC25-001,MPC25-001-018,14,0.5,7.3,7.15,7.45,35,0,0,204.3206818
MPC25-001,MPC25-001-019,0,0.5,6.9,6.75,7.05,36.5,0,0,200
MPC25-001,MPC25-001-019,1,0.5,6.9,6.75,7.05,36.5,0,0,202.8233333
MPC25-001,MPC25-001-019,2,0.5,6.9,6.75,7.05,36.5,0,0,205.66
MPC25-001,MPC25-001-019,3,0.5,6.9,6.75,7.05,36.5,6.027272727,0.028998269,207.8493939
MPC25-001,MPC25-001-019,4,0.5,6.9,6.75,7.05,35,0,0,202.9893939
MPC25-001,MPC25-001-019,5,0.5,6.9,6.75,7.05,35,0,0,205.7593939
MPC25-001,MPC25-001-019,6,0.5,6.9,6.75,7.05,35,7.572727273,0.036418113,207.9384848
MPC25-001,MPC25-001-019,7,0.5,6.9,6.75,7.05,35,0,0,201.1784848
MPC25-001,MPC25-001-019,8,0.5,6.9,6.75,7.05,35,7.572727273,0.037089794,204.172803
MPC25-001,MPC25-001-019,9,0.5,6.9,6.75,7.05,35,0,0,197.452803
MPC25-001,MPC25-001-019,10,0.5,6.9,6.75,7.05,35,6.8,0.034043806,199.7426515
MPC25-001,MPC25-001-019,11,0.5,6.9,6.75,7.05,35,0,0,194.0026515
MPC25-001,MPC25-001-019,12,0.5,6.9,6.75,7.05,35,6.027272727,0.030700331,196.3259848
MPC25-001,MPC25-001-019,13,0.5,6.9,6.75,7.05,35,0,0,191.5359848
MPC25-001,MPC25-001-019,14,0.5,6.9,6.75,7.05,35,0,0,197.2759848
MPC25-001,MPC25-001-020,0,1.5,7.3,7.15,7.45,36.5,0,0,200
MPC25-001,MPC25-001-020,1,1.5,7.3,7.15,7.45,36.5,0,0,202.8233333
MPC25-001,MPC25-001-020,2,1.5,7.3,7.15,7.45,36.5,0,0,205.66
MPC25-001,MPC25-001-020,3,1.5,7.3,7.15,7.45,36.5,6.027272727,0.028998269,207.8493939
MPC25-001,MPC25-001-020,4,1.5,7.3,7.15,7.45,36.5,0,0,202.9893939
MPC25-001,MPC25-001-020,5,1.5,7.3,7.15,7.45,36.5,0,0,205.7593939
MPC25-001,MPC25-001-020,6,1.5,7.3,7.15,7.45,35,7.572727273,0.036418113,207.9384848
MPC25-001,MPC25-001-020,7,1.5,7.3,7.15,7.45,35,0,0,201.1784848
MPC25-001,MPC25-001-020,8,1.5,7.3,7.15,7.45,35,7.572727273,0.037089794,204.172803
MPC25-001,MPC25-001-020,9,1.5,7.3,7.15,7.45,35,0,0,197.452803
MPC25-001,MPC25-001-020,10,1.5,7.3,7.15,7.45,35,6.8,0.034043806,199.7426515
MPC25-001,MPC25-001-020,11,1.5,7.3,7.15,7.45,35,0,0,194.0026515
MPC25-001,MPC25-001-020,12,1.5,7.3,7.15,7.45,35,6.027272727,0.030700331,196.3259848
MPC25-001,MPC25-001-020,13,1.5,7.3,7.15,7.45,35,0,0,191.5359848
MPC25-001,MPC25-001-020,14,1.5,7.3,7.15,7.45,35,0,0,197.2759848
MPC25-001,MPC25-001-021,0,1,7.1,6.95,7.25,36.5,0,0,200
MPC25-001,MPC25-001-021,1,1,7.1,6.95,7.25,36.5,0,0,202.8233333
MPC25-001,MPC25-001-021,2,1,7.1,6.95,7.25,36.5,0,0,205.66
MPC25-001,MPC25-001-021,3,1,7.1,6.95,7.25,36.5,7.8,0.037411268,208.4933333
MPC25-001,MPC25-001-021,4,1,7.1,6.95,7.25,36.5,0,0,203.6333333
MPC25-001,MPC25-001-021,5,1,7.1,6.95,7.25,35,0,0,206.4033333
MPC25-001,MPC25-001-021,6,1,7.1,6.95,7.25,35,9.8,0.0468399,209.2233333
MPC25-001,MPC25-001-021,7,1,7.1,6.95,7.25,35,0,0,202.4633333
MPC25-001,MPC25-001-021,8,1,7.1,6.95,7.25,35,9.8,0.04749481,206.3383333
MPC25-001,MPC25-001-021,9,1,7.1,6.95,7.25,35,0,0,199.6183333
MPC25-001,MPC25-001-021,10,1,7.1,6.95,7.25,35,8.8,0.043439271,202.5816667
MPC25-001,MPC25-001-021,11,1,7.1,6.95,7.25,35,0,0,196.8416667
MPC25-001,MPC25-001-021,12,1,7.1,6.95,7.25,35,7.8,0.039029597,199.8483333
MPC25-001,MPC25-001-021,13,1,7.1,6.95,7.25,35,0,0,195.0583333
MPC25-001,MPC25-001-021,14,1,7.1,6.95,7.25,35,0,0,200.7983333
MPC25-001,MPC25-001-022,0,0.5,7.3,7.15,7.45,36.5,0,0,200
MPC25-001,MPC25-001-022,1,0.5,7.3,7.15,7.45,36.5,0,0,202.8233333
MPC25-001,MPC25-001-022,2,0.5,7.3,7.15,7.45,36.5,0,0,205.66
MPC25-001,MPC25-001-022,3,0.5,7.3,7.15,7.45,36.5,9.572727273,0.045772459,209.1372727
MPC25-001,MPC25-001-022,4,0.5,7.3,7.15,7.45,35,0,0,204.2772727
MPC25-001,MPC25-001-022,5,0.5,7.3,7.15,7.45,35,0,0,207.0472727
MPC25-001,MPC25-001-022,6,0.5,7.3,7.15,7.45,35,12.02727273,0.057134467,210.5081818
MPC25-001,MPC25-001-022,7,0.5,7.3,7.15,7.45,35,0,0,203.7481818
MPC25-001,MPC25-001-022,8,0.5,7.3,7.15,7.45,35,12.02727273,0.057683692,208.5038636
MPC25-001,MPC25-001-022,9,0.5,7.3,7.15,7.45,35,0,0,201.7838636
MPC25-001,MPC25-001-022,10,0.5,7.3,7.15,7.45,35,10.8,0.052575037,205.4206818
MPC25-001,MPC25-001-022,11,0.5,7.3,7.15,7.45,35,0,0,199.6806818
MPC25-001,MPC25-001-022,12,0.5,7.3,7.15,7.45,35,9.572727273,0.047070341,203.3706818
MPC25-001,MPC25-001-022,13,0.5,7.3,7.15,7.45,35,0,0,198.5806818
MPC25-001,MPC25-001-022,14,0.5,7.3,7.15,7.45,35,0,0,204.3206818
MPC25-001,MPC25-001-023,0,1.5,7.3,7.15,7.45,36.5,0,0,200
MPC25-001,MPC25-001-023,1,1.5,7.3,7.15,7.45,36.5,0,0,202.8233333
MPC25-001,MPC25-001-023,2,1.5,7.3,7.15,7.45,36.5,0,0,205.66
MPC25-001,MPC25-001-023,3,1.5,7.3,7.15,7.45,36.5,9.572727273,0.045772459,209.1372727
MPC25-001,MPC25-001-023,4,1.5,7.3,7.15,7.45,35,0,0,204.2772727
MPC25-001,MPC25-001-023,5,1.5,7.3,7.15,7.45,35,0,0,207.0472727
MPC25-001,MPC25-001-023,6,1.5,7.3,7.15,7.45,35,12.02727273,0.057134467,210.5081818
MPC25-001,MPC25-001-023,7,1.5,7.3,7.15,7.45,35,0,0,203.7481818
MPC25-001,MPC25-001-023,8,1.5,7.3,7.15,7.45,35,12.02727273,0.057683692,208.5038636
MPC25-001,MPC25-001-023,9,1.5,7.3,7.15,7.45,35,0,0,201.7838636
MPC25-001,MPC25-001-023,10,1.5,7.3,7.15,7.45,35,10.8,0.052575037,205.4206818
MPC25-001,MPC25-001-023,11,1.5,7.3,7.15,7.45,35,0,0,199.6806818
MPC25-001,MPC25-001-023,12,1.5,7.3,7.15,7.45,35,9.572727273,0.047070341,203.3706818
MPC25-001,MPC25-001-023,13,1.5,7.3,7.15,7.45,35,0,0,198.5806818
MPC25-001,MPC25-001-023,14,1.5,7.3,7.15,7.45,35,0,0,204.3206818
MPC25-001,MPC25-001-024,0,1.5,7.3,7.15,7.45,36.5,0,0,200
MPC25-001,MPC25-001-024,1,1.5,7.3,7.15,7.45,36.5,0,0,202.8233333
MPC25-001,MPC25-001-024,2,1.5,7.3,7.15,7.45,36.5,0,0,205.66
MPC25-001,MPC25-001-024,3,1.5,7.3,7.15,7.45,36.5,6.027272727,0.028998269,207.8493939
MPC25-001,MPC25-001-024,4,1.5,7.3,7.15,7.45,36.5,0,0,202.9893939
MPC25-001,MPC25-001-024,5,1.5,7.3,7.15,7.45,36.5,0,0,205.7593939
MPC25-001,MPC25-001-024,6,1.5,7.3,7.15,7.45,35,7.572727273,0.036418113,207.9384848
MPC25-001,MPC25-001-024,7,1.5,7.3,7.15,7.45,35,0,0,201.1784848
MPC25-001,MPC25-001-024,8,1.5,7.3,7.15,7.45,35,7.572727273,0.037089794,204.172803
MPC25-001,MPC25-001-024,9,1.5,7.3,7.15,7.45,35,0,0,197.452803
MPC25-001,MPC25-001-024,10,1.5,7.3,7.15,7.45,35,6.8,0.034043806,199.7426515
MPC25-001,MPC25-001-024,11,1.5,7.3,7.15,7.45,35,0,0,194.0026515
MPC25-001,MPC25-001-024,12,1.5,7.3,7.15,7.45,35,6.027272727,0.030700331,196.3259848
MPC25-001,MPC25-001-024,13,1.5,7.3,7.15,7.45,35,0,0,191.5359848
MPC25-001,MPC25-001-024,14,1.5,7.3,7.15,7.45,35,0,0,197.2759848
MPC25-001,MPC25-001-025,0,0.5,6.9,6.75,7.05,36.5,0,0,200
MPC25-001,MPC25-001-025,1,0.5,6.9,6.75,7.05,36.5,0,0,202.8233333
MPC25-001,MPC25-001-025,2,0.5,6.9,6.75,7.05,36.5,0,0,205.66
MPC25-001,MPC25-001-025,3,0.5,6.9,6.75,7.05,36.5,9.572727273,0.045772459,209.1372727
MPC25-001,MPC25-001-025,4,0.5,6.9,6.75,7.05,36.5,0,0,204.2772727
MPC25-001,MPC25-001-025,5,0.5,6.9,6.75,7.05,36.5,0,0,207.0472727
MPC25-001,MPC25-001-025,6,0.5,6.9,6.75,7.05,35,12.02727273,0.057134467,210.5081818
MPC25-001,MPC25-001-025,7,0.5,6.9,6.75,7.05,35,0,0,203.7481818
MPC25-001,MPC25-001-025,8,0.5,6.9,6.75,7.05,35,12.02727273,0.057683692,208.5038636
MPC25-001,MPC25-001-025,9,0.5,6.9,6.75,7.05,35,0,0,201.7838636
MPC25-001,MPC25-001-025,10,0.5,6.9,6.75,7.05,35,10.8,0.052575037,205.4206818
MPC25-001,MPC25-001-025,11,0.5,6.9,6.75,7.05,35,0,0,199.6806818
MPC25-001,MPC25-001-025,12,0.5,6.9,6.75,7.05,35,9.572727273,0.047070341,203.3706818
MPC25-001,MPC25-001-025,13,0.5,6.9,6.75,7.05,35,0,0,198.5806818
MPC25-001,MPC25-001-025,14,0.5,6.9,6.75,7.05,35,0,0,204.3206818
MPC25-001,MPC25-001-026,0,0.5,6.9,6.75,7.05,36.5,0,0,200
MPC25-001,MPC25-001-026,1,0.5,6.9,6.75,7.05,36.5,0,0,202.8233333
MPC25-001,MPC25-001-026,2,0.5,6.9,6.75,7.05,36.5,0,0,205.66
