Experiment,Batch,Sample_Time,Day,TCC,VCC,Viability,Diameter,Osmolality,Ammonium,Calcium,Glucose,Glutamine,Glutamate,Lactate,pH,CO2,pO2,Potassium,Sodium,Bicarbonate,pCO2 at Temp,pO2 at Temp,pH at Temp,IGG,DO,pH_setpoint,pH_setpoint_low,pH_setpoint_high,Temperature,Feed_Time_Offset,Bolus_Feed,Cumulative_Feed,Cumulative_Glucose,Normalized_Bolus_Feed,Cumulative_Normalized_Feed,Cumulative_Normalized_Glucose,Volume
AR25-064,AR25-064-005,7/13/2025 6:52,11,15.34,14.02,91.4,18.41,425,7.95,0.44,9.25,2.35,7.25,0.13,7.12,34.9,29.6,2,130.8,11,32,25.7,7.14,4749.24,40,7.1,6.95,7.25,35,,0,,,0,,,203.16
AR25-064,AR25-064-006,7/13/2025 7:02,11,18.08,16.71,92.4,18.25,410,6.74,0.43,7.24,2.08,7.22,0.12,7.23,33.3,13.8,1.61,136.3,13.7,30.5,11.9,7.26,5069.445,40,7.2,7.05,7.35,35,,0,,,0,,,204.6
AR25-064,AR25-064-007,7/13/2025 7:14,11,17.34,15.77,90.9,17.93,424,7.47,0.43,9.25,1.71,6.98,0.08,7.07,40,43.4,2.3,130.9,11.3,36.6,37.6,7.09,4923.24,40,7.1,6.95,7.25,35,,0,,,0,,,204.65
AR25-064,AR25-064-008,7/13/2025 7:24,11,18.18,16.63,91.5,18.31,414,6.31,0.43,6.74,2.19,7.49,0.12,7.31,29.6,22.1,1.62,140.5,14.7,27.1,19.1,7.34,4862.34,40,7.3,7.15,7.45,35,,0,,,0,,,202.94
AR25-064,AR25-064-009,7/13/2025 6:02,11,16.25,14.73,90.6,18.57,413,8.02,0.45,9.25,2.34,7.85,0.13,7.12,32.8,25.1,2.06,134.5,10.4,30.1,21.8,7.14,4839.81,40,7.1,6.95,7.25,35,,0,,,0,,,204.48
AR25-064,AR25-064-010,7/13/2025 7:34,11,16.15,14.05,87,17.99,421,8.12,0.42,9.74,2.59,7.04,0.14,7.03,40.1,39.5,2.33,128.7,10.3,36.7,34.2,7.05,5032.59,40,7.1,6.95,7.25,35,,0,,,0,,,205.88
AR25-064,AR25-064-011,7/13/2025 7:45,11,16.81,15.23,90.6,18.77,412,7.87,0.43,8.34,2.44,7.17,0.11,7.14,30.7,25,1.95,130.3,10.2,28.1,21.7,7.16,5020.35,40,7.1,6.95,7.25,35,,0,,,0,,,204.35
AR25-064,AR25-064-012,7/13/2025 7:55,11,15.01,12.78,85.1,17.99,417,7.99,0.42,9.42,2.53,6.95,0.14,7.04,39.2,43.7,2.35,129,10.4,35.9,37.9,7.07,5052.135,40,7.1,6.95,7.25,35,,0,,,0,,,205.98
AR25-064,AR25-064-013,7/13/2025 8:06,11,19.68,18.44,93.7,18.09,402,6.04,0.43,5.35,2,7.25,0.11,7.32,29.6,13.6,1.41,145.1,14.9,27.2,11.8,7.34,5220.885,40,7.3,7.15,7.45,35,,0,,,0,,,204.21
AR25-064,AR25-064-014,7/13/2025 8:16,11,16.08,14.6,90.8,18.32,423,8.52,0.43,9.55,2.64,7.05,0.14,7.08,33.3,33.5,2.27,129.6,9.7,30.5,29.1,7.11,5015.43,40,7,6.85,7.15,35,,0,,,0,,,204.47
AR25-064,AR25-064-015,7/13/2025 8:26,11,15.12,13.86,91.7,18.16,435,9.69,0.42,11.11,3.04,7.02,0.14,7.01,60.1,42,2.55,128,14.8,55.1,36.4,7.03,4743.39,40,6.9,6.75,7.05,35,,0,,,0,,,204.68
AR25-064,AR25-064-016,7/13/2025 8:36,11,16.32,14.79,90.6,18.25,424,8.54,0.43,9.84,2.69,6.99,0.14,7.09,34.1,36,2.26,127.4,10.2,31.3,31.2,7.12,4885.935,40,7,6.85,7.15,35,,0,,,0,,,204.52
AR25-064,AR25-064-017,7/13/2025 8:46,11,18.13,16.7,92.1,18.19,405,6.56,0.42,6.37,2.11,6.96,0.12,7.22,29.6,22.1,1.6,135.7,12,27.1,19.1,7.25,5234.805,40,7.2,7.05,7.35,35,,0,,,0,,,204.19
AR25-064,AR25-064-018,7/13/2025 8:56,11,17.58,15.72,89.4,17.62,422,7.47,0.44,9.04,1.97,6.7,0.1,7.1,40.6,38.2,2.25,130.1,12.3,37.2,33.2,7.12,4984.8,40,7.1,6.95,7.25,35,,0,,,0,,,204.62
AR25-064,AR25-064-019,7/13/2025 9:14,11,17.06,15.32,89.8,18.11,405,7.32,0.45,7.6,2.12,6.83,0.11,7.13,31,31.5,2.01,130.9,10.1,28.5,27.4,7.15,5420.49,40,7.1,6.95,7.25,35,,0,,,0,,,202.81
AR25-064,AR25-064-020,7/13/2025 9:24,11,14.25,12.91,90.6,18.39,447,10.37,0.43,12,3.14,7.19,0.12,6.98,68.3,43,2.8,128.8,15.8,62.6,37.3,7.01,4527.855,40,6.9,6.75,7.05,35,,0,,,0,,,204.72
AR25-064,AR25-064-021,7/13/2025 9:34,11,15.99,14.65,91.6,18.51,405,7.52,0.42,7.6,2.21,6.73,0.1,7.11,30.5,24.6,1.79,128.1,9.5,27.9,21.3,7.13,5273.205,40,7.1,6.95,7.25,35,,0,,,0,,,204.31
AR25-064,AR25-064-022,7/13/2025 10:14,11,16.38,14.67,89.6,18.57,399,7.77,0.43,7.83,2.34,7.07,0.09,7.12,28.4,26,1.85,130.1,9,26,22.5,7.15,5194.785,40,7.1,6.95,7.25,35,,0,,,0,,,202.15
AR25-064,AR25-064-023,7/13/2025 10:26,11,17.23,15.76,91.5,18.6,386,7.73,0.44,6.63,1.93,6.78,0.07,7.17,30.3,26.2,1.87,129.5,10.9,27.7,22.7,7.2,5191.875,40,7.1,6.95,7.25,35,,0,,,0,,,202.6
AR25-064,AR25-064-024,7/13/2025 10:37,11,16.73,15.12,90.4,18.61,379,7.32,0.43,5.82,1.65,6.5,0.07,7.16,29.9,26.1,1.72,126.3,10.5,27.3,22.6,7.19,5330.43,40,7.1,6.95,7.25,35,,0,,,0,,,202.43
AR25-064,AR25-064-001,7/14/2025 6:02,12,13.69,12.14,88.7,18.28,475,12.5,0.45,13.75,4.96,8.52,0.13,7.07,46.5,40.9,3.16,130.8,13.2,42.6,35.5,7.09,4188.96,40,7.1,6.95,7.25,35,,7.8,,,0.038767396,,,201.2
AR25-064,AR25-064-002,7/14/2025 6:12,12,15.95,14.18,88.9,18.22,385,8.6,0.44,5,2.2,7.42,0.06,7.16,36.1,28.8,2.14,129.3,12.6,33.1,25,7.19,5736.36,40,7.1,6.95,7.25,35,,7.8,,,0.038900803,,,200.51
AR25-064,AR25-064-003,7/14/2025 6:22,12,17,15.3,90,18.1,378,8.23,0.45,4.4,1.91,7.01,0.06,7.12,41.3,30.2,2.09,130.3,13.2,37.8,26.2,7.15,5736.36,40,7.1,6.95,7.25,35,,7.8,,,0.039221602,,,198.87
AR25-064,AR25-064-004,7/14/2025 6:32,12,13.54,11.84,87.5,17.72,480,12.49,0.44,13.73,4.99,8.25,0.14,7.06,62.1,43.9,3.23,130.4,17.4,56.9,38.2,7.09,4043.58,40,7.1,6.95,7.25,35,,7.8,,,0.038753913,,,201.27
AR25-064,AR25-064-005,7/14/2025 6:42,12,17,15.04,88.5,18.25,391,8.66,0.45,5.36,2.29,7.27,0.08,7.16,34.1,32.1,2.13,133.5,11.9,31.3,27.8,7.19,6119.625,40,7.1,6.95,7.25,35,,7.8,,,0.039011704,,,199.94
AR25-064,AR25-064-006,7/14/2025 6:52,12,17.46,15.67,89.7,18.1,378,7.54,0.44,3.19,1.74,7.25,0.08,7.27,33.3,24.3,1.77,138.1,15.1,30.5,21.1,7.3,5901.495,40,7.2,7.05,7.35,35,,7.8,,,0.038734668,,,201.37
AR25-064,AR25-064-007,7/14/2025 7:02,12,17.04,15.2,89.2,17.91,387,7.93,0.44,5.05,2.29,6.9,0.09,7.12,37.2,23.8,2.13,131,11.9,34.1,20.7,7.15,5990.715,40,7.1,6.95,7.25,35,,7.8,,,0.038696235,,,201.57
AR25-064,AR25-064-008,7/14/2025 7:14,12,18.67,16.29,87.3,17.9,392,7.14,0.44,2.71,1.82,7.21,0.1,7.35,29.8,28.3,1.79,143.3,16.2,27.3,24.5,7.38,5986.065,40,7.3,7.15,7.45,35,,7.8,,,0.0390625,,,199.68
AR25-064,AR25-064-009,7/14/2025 7:24,12,16.69,14.7,88.1,18.35,382,8.46,0.43,4.68,2.24,7.03,0.08,7.17,29.8,25.7,2,131.7,10.7,27.2,22.1,7.2,6014.385,40,7.1,6.95,7.25,35,,7.8,,,0.038744288,,,201.32
AR25-064,AR25-064-010,7/14/2025 7:34,12,16.03,13.4,83.6,17.64,394,8.47,0.41,6.13,2.86,6.96,0.08,7.05,38.5,40.7,2.48,128.7,10.3,35.3,35.3,7.07,6271.8,40,7.1,6.95,7.25,35,,7.8,,,0.038436899,,,202.93
AR25-064,AR25-064-011,7/14/2025 7:44,12,16.07,14.3,89,18.46,383,8.59,0.43,4.39,2.18,6.95,0.09,7.17,31.4,37.1,2.12,131.4,11.2,28.8,32.2,7.2,5863.41,40,7.1,6.95,7.25,35,,7.8,,,0.038773177,,,201.17
AR25-064,AR25-064-012,7/14/2025 7:54,12,16.17,13.48,83.4,17.71,389,8.37,0.42,5.83,2.76,6.81,0.09,7.06,41.8,38.5,2.49,129.4,11.5,38.3,33.3,7.08,6090.66,40,7.1,6.95,7.25,35,,7.8,,,0.038416076,,,203.04
AR25-064,AR25-064-013,7/14/2025 8:07,12,21.33,18.77,88,17.49,373,6.77,0.44,1.04,1.33,7.04,0.1,7.36,29.4,31.8,1.55,144.4,16.3,26.9,27.6,7.39,6308.58,40,7.3,7.15,7.45,35,,7.8,,,0.038838819,,,200.83
AR25-064,AR25-064-014,7/14/2025 8:17,12,16.45,14.35,87.3,18.05,387,8.96,0.43,5.63,2.67,6.85,0.09,7.11,33.9,29.5,2.25,129.1,10.6,31,25.6,7.14,5884.41,40,7,6.85,7.15,35,,7.8,,,0.038730821,,,201.39
AR25-064,AR25-064-015,7/14/2025 8:27,12,15.3,13.4,87.6,18.14,413,10.1,0.42,7.59,3.51,6.85,0.1,7.01,63.5,39.1,2.66,128.9,15.8,58.2,34,7.04,5588.025,40,6.9,6.75,7.05,35,,7.8,,,0.038659794,,,201.76
AR25-064,AR25-064-016,7/14/2025 8:37,12,15.91,13.45,84.5,18.18,395,9.1,0.43,6.13,2.84,6.9,0.09,7.1,36.8,35.3,2.29,129.9,11.2,33.8,30.6,7.13,5676.705,40,7,6.85,7.15,35,,7.8,,,0.038711599,,,201.49
AR25-064,AR25-064-017,7/14/2025 8:47,12,18.43,16.49,89.5,17.86,378,7.4,0.44,2.25,1.7,6.74,0.09,7.27,30,29.3,1.75,137.4,13.6,27.5,25.4,7.3,6266.7,40,7.2,7.05,7.35,35,,7.8,,,0.038829152,,,200.88
AR25-064,AR25-064-018,7/14/2025 8:59,12,17.36,15.21,87.6,17.87,388,8.01,0.44,5.07,2.42,6.82,0.1,7.15,33.2,46.8,2.07,133.8,11.5,30.4,40.6,7.18,5898.78,40,7.1,6.95,7.25,35,,7.8,,,0.038700074,,,201.55
AR25-064,AR25-064-019,7/14/2025 9:15,12,15.54,13.43,86.5,18.23,376,8,0.45,3.73,1.82,6.68,0.09,7.14,36.6,32.9,2.12,130.5,12.2,33.5,28.6,7.17,5859.78,40,7.1,6.95,7.25,35,,7.8,,,0.039044902,,,199.77
AR25-064,AR25-064-020,7/14/2025 9:25,12,13.51,11.68,86.4,18.32,423,10.75,0.43,8.72,3.87,7.31,0.1,7.03,61.4,48.2,2.94,131.3,16,56.2,41.9,7.06,5309.88,40,6.9,6.75,7.05,35,,7.8,,,0.038652131,,,201.8
AR25-064,AR25-064-021,7/14/2025 9:35,12,17.34,15.12,87.2,18.43,373,8.54,0.43,3.75,1.89,6.72,0.09,7.16,30.8,34.5,2,130.9,10.7,28.1,29.8,7.18,5854.695,40,7.1,6.95,7.25,35,,7.8,,,0.038775104,,,201.16
AR25-064,AR25-064-022,7/14/2025 10:15,12,16.78,14.84,88.4,18.38,373,8.44,0.43,3.84,1.88,6.88,0.07,7.16,29.8,28.5,2,129.3,10.5,27.3,24.7,7.19,6148.065,40,7.1,6.95,7.25,35,,7.8,,,0.039213715,,,198.91
AR25-064,AR25-064-023,7/14/2025 10:27,12,16.25,14.57,89.7,18.49,359,8.14,0.44,2.79,1.29,6.38,0.07,7.19,36.9,31.9,1.95,128.8,13.7,33.8,27.6,7.21,6155.745,40,7.1,6.95,7.25,35,,7.8,,,0.039091866,,,199.53
AR25-064,AR25-064-024,7/14/2025 11:39,12,16.03,14.34,89.5,18.65,346,8.19,0.45,1.94,1.06,6.46,0.06,7.19,36.3,26.6,1.89,131.4,13.5,33.3,23,7.21,6248.31,40,7.1,6.95,7.25,35,,7.8,,,0.039136979,,,199.3
AR25-064,AR25-064-001,7/15/2025 6:03,13,14.46,12.7,87.8,17.83,521,13.46,0.44,15.95,5.87,9.32,0.15,6.99,51.7,53.9,3.48,135.9,12.3,47.4,46.9,7.02,4655.34,40,7.1,6.95,7.25,35,,0,,,0,,,206.12
AR25-064,AR25-064-002,7/15/2025 6:13,13,17.37,15.21,87.6,18.09,437,9.91,0.43,7.56,3.17,8.51,0.12,7.08,37.8,31.7,2.4,137.9,10.9,34.6,27.5,7.1,6446.19,40,7.1,6.95,7.25,35,,0,,,0,,,205.32
AR25-064,AR25-064-003,7/15/2025 6:23,13,16.38,14.6,89.1,17.92,420,9.19,0.43,6.74,2.53,7.86,0.12,7.06,39,27,2.37,134.9,10.9,35.7,23.4,7.09,6446.19,40,7.1,6.95,7.25,35,,0,,,0,,,203.51
AR25-064,AR25-064-004,7/15/2025 6:33,13,14.75,13.02,88.3,17.67,529,13.69,0.43,16.09,5.9,8.99,0.18,7,57.5,52.6,3.67,136.9,13.7,52.7,45.7,7.02,4572.885,40,7.1,6.95,7.25,35,,0,,,0,,,206.21
AR25-064,AR25-064-005,7/15/2025 6:45,13,16.68,14.56,87.3,17.93,438,9.51,0.43,7.85,2.95,8.07,0.11,7.08,36.4,36.2,2.43,137.6,10.6,33.4,31.4,7.11,6372.33,40,7.1,6.95,7.25,35,,0,,,0,,,204.63
AR25-064,AR25-064-006,7/15/2025 6:56,13,17.96,16.12,89.7,18.06,423,8.36,0.43,5.51,2.51,8.06,0.13,7.19,33.3,26.9,2.06,143.7,12.5,30.5,23.4,7.22,6730.875,40,7.2,7.05,7.35,35,,0,,,0,,,205.99
AR25-064,AR25-064-007,7/15/2025 7:14,13,17.01,14.98,88.1,18.15,438,9.02,0.42,7.7,2.77,7.5,0.09,7.05,39.3,41.2,2.48,137.5,10.6,36,35.8,7.07,6396.825,40,7.1,6.95,7.25,35,,0,,,0,,,206.33
AR25-064,AR25-064-008,7/15/2025 7:24,13,18.44,16.22,88,18.06,431,7.8,0.43,5.05,2.67,7.86,0.16,7.26,31.9,33.1,1.85,147.2,14,29.2,28.7,7.28,6495.33,40,7.3,7.15,7.45,35,,0,,,0,,,204.34
AR25-064,AR25-064-009,7/15/2025 8:03,13,17.61,15.45,87.8,18.22,426,9.55,0.43,7.01,3.23,7.79,0.13,7.09,33,36,2.4,139.9,9.8,30.2,31.3,7.12,6400.86,40,7.1,6.95,7.25,35,,0,,,0,,,204.23
AR25-064,AR25-064-010,7/15/2025 8:21,13,16.19,13.3,82.1,17.7,443,9.91,0.41,8.92,3.69,7.69,0.12,6.98,43.9,48.1,2.82,134.8,10.1,40.2,41.8,7,6375.435,40,7.1,6.95,7.25,35,,0,,,0,,,206.06
AR25-064,AR25-064-011,7/15/2025 8:31,13,16.38,14.49,88.4,18.59,429,9.44,0.43,6.45,3.35,7.59,0.15,7.09,31.5,32.2,2.27,137.9,9.4,28.8,27.9,7.12,6455.04,40,7.1,6.95,7.25,35,,0,,,0,,,204.06
AR25-064,AR25-064-012,7/15/2025 8:42,13,16.16,13.54,83.8,17.9,442,9.54,0.41,8.46,3.52,7.36,0.12,6.99,44.4,44.8,2.81,132.2,10.4,40.7,38.9,7.01,6242.67,40,7.1,6.95,7.25,35,,0,,,0,,,206.15
AR25-064,AR25-064-013,7/15/2025 8:52,13,19.23,17.49,90.9,18.03,411,6.98,0.42,2.72,2.44,7.43,0.14,7.27,30.9,19.7,1.56,148.9,14,28.3,17.1,7.3,6851.115,40,7.3,7.15,7.45,35,,0,,,0,,,203.39
AR25-064,AR25-064-014,7/15/2025 9:02,13,16.57,14.51,87.6,18.3,440,9.85,0.42,7.94,3.47,7.4,0.14,7.04,34,40.6,2.52,132.7,9,31.2,35.2,7.06,6390.45,40,7,6.85,7.15,35,,0,,,0,,,204.37
AR25-064,AR25-064-015,7/15/2025 9:13,13,15.46,13.26,85.7,17.96,454,11.14,0.41,9.98,4.3,7.6,0.14,6.99,60.9,45.2,3.03,132.3,14.5,55.8,39.3,7.02,6013.425,40,6.9,6.75,7.05,35,,0,,,0,,,204.88
AR25-064,AR25-064-016,7/15/2025 9:23,13,15.5,13.3,85.8,18.1,443,10.19,0.42,8.66,3.62,7.77,0.13,7.02,39.4,42.8,2.62,134.2,10,36.1,37.2,7.05,6388.23,40,7,6.85,7.15,35,,0,,,0,,,204.52
AR25-064,AR25-064-017,7/15/2025 9:34,13,17.59,15.69,89.2,18.33,415,7.96,0.43,4.19,2.66,7.6,0.14,7.18,30.5,24.8,1.84,142.5,11.1,28,21.5,7.2,6550.53,40,7.2,7.05,7.35,35,,0,,,0,,,203.61
AR25-064,AR25-064-018,7/15/2025 9:44,13,17.13,14.79,86.4,18.18,438,9.05,0.43,7.44,2.83,7.33,0.09,7.06,39,39.4,2.55,136.9,10.9,35.8,34.2,7.09,6267.9,40,7.1,6.95,7.25,35,,0,,,0,,,204.53
AR25-064,AR25-064-019,7/15/2025 9:55,13,15.95,13.76,86.3,18.33,419,8.68,0.43,6.03,2.74,7.19,0.14,7.08,34,34.9,2.29,132.5,9.8,31.1,30.2,7.1,6304.125,40,7.1,6.95,7.25,35,,0,,,0,,,202.67
AR25-064,AR25-064-020,7/15/2025 10:05,13,13.93,11.74,84.3,18.19,473,11.68,0.42,10.99,4.84,7.8,0.17,7.02,52.6,47.2,3.3,133.4,13.2,48.2,41,7.04,5642.745,40,6.9,6.75,7.05,35,,0,,,0,,,204.93
AR25-064,AR25-064-021,7/15/2025 10:15,13,17.3,15.15,87.6,18.51,417,9.21,0.42,5.81,3.02,7.17,0.14,7.07,30.1,28.3,2.14,134.8,8.6,27.6,24.6,7.1,6641.07,40,7.1,6.95,7.25,35,,0,,,0,,,204.05
AR25-064,AR25-064-022,7/15/2025 10:27,13,17,14.94,87.9,18.49,416,9.18,0.42,6,3.04,7.1,0.13,7.09,28.6,26.6,2.12,133.9,8.4,26.2,23.1,7.11,6641.85,40,7.1,6.95,7.25,35,,0,,,0,,,203.54
AR25-064,AR25-064-023,7/15/2025 10:37,13,16.41,14.33,87.3,18.39,342,9.09,0.45,0.17,0.93,5.68,0.07,7.16,52.6,55.8,2.34,130.3,18.5,48.2,48.5,7.19,6810.135,40,7.1,6.95,7.25,35,,0,,,0,,,197.22
AR25-064,AR25-064-024,7/15/2025 13:21,13,16.66,14.91,89.5,18.71,405,9.12,0.44,8.09,1.88,8.8,0.02,7.1,32.8,25.2,1.44,136.9,10,30.1,21.8,7.13,6645.63,40,7.1,6.95,7.25,35,,0,,,0,,,203.92
AR25-064,AR25-064-001,7/16/2025 5:25,14,14.55,12.03,82.7,17.62,502,14.95,0.47,12.97,5.95,10.96,0.23,6.95,50.7,52.1,2.98,135.2,10.8,46.5,45.3,6.97,5113.95,40,7.1,6.95,7.25,35,,0,,,0,,,200.46
AR25-064,AR25-064-002,7/16/2025 5:35,14,17.55,14.73,84,17.78,407,11.21,0.45,3.98,3.12,9.44,0.05,7.05,44.6,44.5,2.19,136.5,12.2,40.9,38.7,7.08,7032.135,40,7.1,6.95,7.25,35,,0,,,0,,,199.55
AR25-064,AR25-064-003,7/16/2025 5:45,14,17.44,14.99,85.9,17.68,399,10.57,0.46,3.18,2.71,8.66,0.04,7.06,44.2,36.7,2.09,135.4,12.1,40.5,31.9,7.08,7032.135,40,7.1,6.95,7.25,35,,0,,,0,,,197.72
AR25-064,AR25-064-004,7/16/2025 5:55,14,15.53,12.98,83.6,16.95,511,15.26,0.46,13.1,6.09,10.85,0.26,6.95,56,51.9,3.13,136.3,12,51.3,45.1,6.97,4994.955,40,7.1,6.95,7.25,35,,0,,,0,,,200.56
AR25-064,AR25-064-005,7/16/2025 6:05,14,17.36,14.51,83.6,17.73,414,10.8,0.46,4.25,3.12,9.28,0.06,7.09,33.3,39.7,2.05,138.8,9.9,30.5,34.4,7.12,7064.235,40,7.1,6.95,7.25,35,,0,,,0,,,198.7
AR25-064,AR25-064-006,7/16/2025 5:02,14,18.62,15.96,85.7,17.33,401,9.81,0.44,1.67,2.52,9.48,0.05,7.18,40.8,33.1,1.78,143.5,15.1,37.4,28.7,7.21,7466.76,40,7.2,7.05,7.35,35,,0,,,0,,,200.02
AR25-064,AR25-064-007,7/16/2025 6:16,14,17.63,14.94,84.7,17.95,414,10.57,0.46,4.06,3.17,9.07,0.06,7.06,37.3,32.5,2.08,140.4,10.4,34.2,28.2,7.09,7005.96,40,7.1,6.95,7.25,35,,0,,,0,,,200.53
AR25-064,AR25-064-008,7/16/2025 6:26,14,19.1413,16.381,85.6,17.55,403,9.34,0.45,1.32,2.26,9.3,0.06,7.23,38.7,37.9,1.75,148.2,15.8,35.4,32.9,7.25,6932.625,40,7.3,7.15,7.45,35,,0,,,0,,,198.38
AR25-064,AR25-064-009,7/16/2025 6:36,14,16.0326,13.9032,86.7,18.38,405,10.65,0.46,3.32,2.97,8.94,0.06,7.08,37.4,37,1.97,137.8,11,34.3,32.2,7.11,7113.66,40,7.1,6.95,7.25,35,,0,,,0,,,200.16
AR25-064,AR25-064-010,7/16/2025 6:46,14,16.6406,13.5046,81.2,17.7,426,11.11,0.45,5.93,3.78,9.09,0.07,6.97,52.2,48.8,2.44,135,11.6,47.8,42.4,6.99,7133.22,40,7.1,6.95,7.25,35,,0,,,0,,,202.16
AR25-064,AR25-064-011,7/16/2025 7:07,14,16.1631,13.7498,85.1,18.45,400,11.15,0.45,3.03,9.47,2.84,0.08,7.09,42.2,41.6,2.14,139.6,12.4,38.6,36.1,7.11,7165.365,40,7.1,6.95,7.25,35,,0,,,0,,,200.02
AR25-064,AR25-064-012,7/16/2025 7:08,14,16.0054,13.04,81.5,17.75,424,10.92,0.44,5.56,9.31,3.46,0.09,6.97,56.5,49.8,2.52,134.4,12.8,51.7,43.3,7,6990.885,40,7.1,6.95,7.25,35,,0,,,0,,,202.26
AR25-064,AR25-064-013,7/16/2025 7:09,14,20.591,18.3656,89.2,17.9,392,7.99,0.44,1.9,8.89,1.68,0.09,7.28,28.2,23.7,1.37,146.7,13.2,25.8,20.6,7.31,7386.09,40,7.3,7.15,7.45,35,,0,,,0,,,200.65
AR25-064,AR25-064-014,7/16/2025 7:10,14,15.8806,13.43,84.6,18.5,413,11.27,0.45,4.64,9.3,3.29,0.07,7.02,41.8,41.6,2.26,136.4,10.7,38.3,36.1,7.05,6908.31,40,7,6.85,7.15,35,,0,,,0,,,200.4
AR25-064,AR25-064-015,7/16/2025 7:12,14,14.5901,11.7853,80.8,18.13,443,12.69,0.45,7.09,10.06,4.57,0.13,6.99,55.5,55.9,2.72,138,12.9,50.8,48.6,7.01,6636.045,40,6.9,6.75,7.05,35,,0,,,0,,,201
AR25-064,AR25-064-016,7/16/2025 7:13,14,15.9752,13.311,83.3,18.28,427,11.39,0.44,5.37,9.32,3.52,0.09,7.02,47.1,41.9,2.35,135,11.8,43.1,36.4,7.04,6895.95,40,7,6.85,7.15,35,,0,,,0,,,200.57
AR25-064,AR25-064-017,7/16/2025 7:14,14,18.3426,16.0498,87.5,18.13,397,9.33,0.44,2.17,8.92,2.21,0.09,7.19,31.8,31,1.76,142.7,12,29.2,26.9,7.22,7337.295,40,7.2,7.05,7.35,35,,0,,,0,,,200.32
AR25-064,AR25-064-018,7/16/2025 7:15,14,16.6736,14.1341,84.8,18.39,409,10.41,0.45,3.98,9.02,3.04,0.09,7.07,42.9,40.9,2.1,139.6,12.1,39.3,35.5,7.09,6937.065,40,7.1,6.95,7.25,35,,0,,,0,,,200.56
AR25-064,AR25-064-019,7/16/2025 7:17,14,16.2204,13.9032,85.7,18.38,392,10.31,0.45,2.77,8.42,2.53,0.08,7.06,46.3,42.2,2.17,135.4,12.8,42.4,36.7,7.08,7045.32,40,7.1,6.95,7.25,35,,0,,,0,,,198.7
AR25-064,AR25-064-020,7/16/2025 7:18,14,13.6523,11.0454,80.9,18.27,448,12.82,0.45,8.04,10.17,4.88,0.16,7,54.4,47.2,2.98,135.5,13,49.9,41,7.02,6153.75,40,6.9,6.75,7.05,35,,0,,,0,,,201.05
AR25-064,AR25-064-021,7/16/2025 7:19,14,16.708,14.4855,86.7,18.44,392,11.15,0.45,2.41,8.64,2.32,0.07,7.08,41.2,37,2,136.9,11.9,37.8,32.1,7.1,7254.135,40,7.1,6.95,7.25,35,,0,,,0,,,200.01
AR25-064,AR25-064-022,7/16/2025 7:20,14,16.5445,14.0724,85.1,18.43,400,10.98,0.45,2.66,8.78,2.41,0.08,7.09,36.6,34,2.01,136.2,11,33.5,29.5,7.1,7048.98,40,7.1,6.95,7.25,35,,0,,,0,,,199.47
AR25-064,AR25-064-023,7/16/2025 7:22,14,16.2118,14.3148,88.3,18.56,345,8.44,0.46,2.69,5.51,0.99,0.05,7.17,48.9,43.2,1.64,128.9,17.5,44.8,37.5,7.2,7054.755,40,7.1,6.95,7.25,35,,0,,,0,,,196.16
AR25-064,AR25-064-024,7/16/2025 7:23,14,17.1926,15.2511,88.7,18.73,387,9.43,0.44,4.57,7.78,1.9,0.07,7.14,33.5,29.9,1.64,133.3,11.1,30.7,26,7.16,7438.515,40,7.1,6.95,7.25,35,,0,,,0,,,199.91
