Key,Sample_Time,Bioreactor,vessel_id,Batch,campaign_id,Day,IGG,VCC,VIABILITY,GLUTAMATE,AMMONIUM,PH_SETPOINT,Temp_measured,TEMPERATURE_SETPOINT,FEED_AMOUNT,NORMALIZED_BOLUS_FEED,VOLUME_L
FER027-57309120M00D00-day0,2025-11-21 10:26:46.409000-05:00,57309120M00D00,FER027,AAR_Setpoint_Temp,GSK5730912,0,22.4,0.59,98.3,2.79,0.48,7.099999905,36.60843277,36.5,0,0,710.5301574
FER027-57309120M00D00-day1,2025-11-22 11:24:33.632000-05:00,57309120M00D00,FER027,AAR_Setpoint_Temp,GSK5730912,1,38.1,1.14,98.4,2.93,0.72,7.105,37.20703125,36.6,0,0,738.1
FER027-57309120M00D00-day2,2025-11-23 08:14:12.847000-05:00,57309120M00D00,FER027,AAR_Setpoint_Temp,GSK5730912,2,69.6,2.65,98.3,3.12,1.11,6.949999809,37.46744919,37.20000076,10.10681629,1.37E-05,737.2289441
FER027-57309120M00D00-day3,2025-11-24 08:55:09.795000-05:00,57309120M00D00,FER027,AAR_Setpoint_Temp,GSK5730912,3,136,4.41,98.8,3.86,2.31,7.002543449,37.5054245,37.46225739,21989.88867,0.028937458,759.5616068
FER027-57309120M00D00-day4,2025-11-25 08:31:34.685000-05:00,57309120M00D00,FER027,AAR_Setpoint_Temp,GSK5730912,4,267.4,7.71,99.3,4.67,3.75,6.949999809,37.00810242,37.5,44659.75,0.028967028,782.6091544
FER027-57309120M00D00-day5,2025-11-26 08:34:55.952000-05:00,57309120M00D00,FER027,AAR_Setpoint_Temp,GSK5730912,5,472,9.96,96.8,5.11,4.94,6.996638298,37.20341492,36.94977951,61794.40625,0.021214615,807.6817017
FER027-57309120M00D00-day6,2025-11-27 09:21:32.920000-05:00,57309120M00D00,FER027,AAR_Setpoint_Temp,GSK5730912,6,797.6,11.46,97.1,5.01,5.55,6.952639103,36.58130646,37.20030594,64963.74609,0.003912779,809.9971096
FER027-57309120M00D00-day7,2025-11-28 09:04:34.734000-05:00,57309120M00D00,FER027,AAR_Setpoint_Temp,GSK5730912,7,1163.3,12.91,95.6,6.81,5.79,6.992065907,36.60300827,36.57346725,74338.46094,0.011280212,831.0761145
FER027-57309120M00D00-day8,2025-11-29 08:39:21.272000-05:00,57309120M00D00,FER027,AAR_Setpoint_Temp,GSK5730912,8,1551,13.32,94.5,7.17,5.79,6.949999809,36.78747177,36.31659698,99188.39844,0.028849076,861.3772426
FER027-57309120M00D00-day9,2025-11-30 08:54:44.671000-05:00,57309120M00D00,FER027,AAR_Setpoint_Temp,GSK5730912,9,1983.9,14.25,93.1,7.09,6.04,7.001262665,36.88693619,36.51498795,99209.82031,2.48E-05,865.4212804
FER027-57309120M00D00-day10,2025-12-01 08:42:53.649000-05:00,57309120M00D00,FER027,AAR_Setpoint_Temp,GSK5730912,10,2332.9,13.47,90,6.82,6.57,6.98715353,36.63917923,36.72688293,99231.19531,2.46E-05,870.0143686
FER027-57309120M00D00-day11,2025-12-02 08:44:36.569000-05:00,57309120M00D00,FER027,AAR_Setpoint_Temp,GSK5730912,11,2538,12.44,88,6.9,7.74,6.993771076,36.43301392,36.01781082,125246.3203,0.0288437,901.9343951
FER027-57309120M00D00-day12,2025-12-03 08:59:56.904000-05:00,57309120M00D00,FER027,AAR_Setpoint_Temp,GSK5730912,12,2742.4,13.63,85.1,6.56,8.29,6.994817734,36.11111069,36.36621857,125256.4219,1.11E-05,906.329533
FER027-57309120M00D00-day13,2025-12-04 09:28:47.458000-05:00,57309120M00D00,FER027,AAR_Setpoint_Temp,GSK5730912,13,2798.8,12.45,82,6.29,8.7,7.012525559,36.34982681,35.93106079,125266.5313,1.11E-05,910.1896048
FER027-57309120M00D00-day14,2025-12-05 10:37:26.846000-05:00,57309120M00D00,FER027,AAR_Setpoint_Temp,GSK5730912,14,2931.4,11.68,78.4,5.85,8.93,7.038037777,36.37695313,36.3793602,125276.625,1.11E-05,908.8783841
FER027-57309120M00D00-day0,2025-11-21 10:26:46.409000-05:00,57309120M00D00,FER027,AAR_Measured_Temp,GSK5730912,0,22.4,0.59,98.3,2.79,0.48,7.099999905,36.60843277,36.61566925,0,0,710.5301574
FER027-57309120M00D00-day1,2025-11-22 11:24:33.632000-05:00,57309120M00D00,FER027,AAR_Measured_Temp,GSK5730912,1,38.1,1.14,98.4,2.93,0.72,7.105,37.20703125,37.27575302,0,0,738.1
FER027-57309120M00D00-day2,2025-11-23 08:14:12.847000-05:00,57309120M00D00,FER027,AAR_Measured_Temp,GSK5730912,2,69.6,2.65,98.3,3.12,1.11,6.949999809,37.46744919,37.68084335,10.10681629,1.37E-05,737.2289441
FER027-57309120M00D00-day3,2025-11-24 08:55:09.795000-05:00,57309120M00D00,FER027,AAR_Measured_Temp,GSK5730912,3,136,4.41,98.8,3.86,2.31,7.002543449,37.5054245,37.67541885,21989.88867,0.028937458,759.5616068
FER027-57309120M00D00-day4,2025-11-25 08:31:34.685000-05:00,57309120M00D00,FER027,AAR_Measured_Temp,GSK5730912,4,267.4,7.71,99.3,4.67,3.75,6.949999809,37.00810242,37.50723267,44659.75,0.028967028,782.6091544
FER027-57309120M00D00-day5,2025-11-26 08:34:55.952000-05:00,57309120M00D00,FER027,AAR_Measured_Temp,GSK5730912,5,472,9.96,96.8,5.11,4.94,6.996638298,37.20341492,37.25766754,61794.40625,0.021214615,807.6817017
FER027-57309120M00D00-day6,2025-11-27 09:21:32.920000-05:00,57309120M00D00,FER027,AAR_Measured_Temp,GSK5730912,6,797.6,11.46,97.1,5.01,5.55,6.952639103,36.58130646,37.21064758,64963.74609,0.003912779,809.9971096
FER027-57309120M00D00-day7,2025-11-28 09:04:34.734000-05:00,57309120M00D00,FER027,AAR_Measured_Temp,GSK5730912,7,1163.3,12.91,95.6,6.81,5.79,6.992065907,36.60300827,36.67715454,74338.46094,0.011280212,831.0761145
FER027-57309120M00D00-day8,2025-11-29 08:39:21.272000-05:00,57309120M00D00,FER027,AAR_Measured_Temp,GSK5730912,8,1551,13.32,94.5,7.17,5.79,6.949999809,36.78747177,36.87608337,99188.39844,0.028849076,861.3772426
FER027-57309120M00D00-day9,2025-11-30 08:54:44.671000-05:00,57309120M00D00,FER027,AAR_Measured_Temp,GSK5730912,9,1983.9,14.25,93.1,7.09,6.04,7.001262665,36.88693619,37.13288498,99209.82031,2.48E-05,865.4212804
FER027-57309120M00D00-day10,2025-12-01 08:42:53.649000-05:00,57309120M00D00,FER027,AAR_Measured_Temp,GSK5730912,10,2332.9,13.47,90,6.82,6.57,6.98715353,36.63917923,37.14011765,99231.19531,2.46E-05,870.0143686
FER027-57309120M00D00-day11,2025-12-02 08:44:36.569000-05:00,57309120M00D00,FER027,AAR_Measured_Temp,GSK5730912,11,2538,12.44,88,6.9,7.74,6.993771076,36.43301392,36.66087723,125246.3203,0.0288437,901.9343951
FER027-57309120M00D00-day12,2025-12-03 08:59:56.904000-05:00,57309120M00D00,FER027,AAR_Measured_Temp,GSK5730912,12,2742.4,13.63,85.1,6.56,8.29,6.994817734,36.11111069,36.37333679,125256.4219,1.11E-05,906.329533
FER027-57309120M00D00-day13,2025-12-04 09:28:47.458000-05:00,57309120M00D00,FER027,AAR_Measured_Temp,GSK5730912,13,2798.8,12.45,82,6.29,8.7,7.012525559,36.34982681,36.47099304,125266.5313,1.11E-05,910.1896048
FER027-57309120M00D00-day14,2025-12-05 10:37:26.846000-05:00,57309120M00D00,FER027,AAR_Measured_Temp,GSK5730912,14,2931.4,11.68,78.4,5.85,8.93,7.038037777,36.37695313,36.39684677,125276.625,1.11E-05,908.8783841
FER027-57309120M00D00-day0,2025-11-21 10:26:46.409000-05:00,57309120M00D00,FER027,AAR_Constant_Temp,GSK5730912,0,22.4,0.59,98.3,2.79,0.48,7.099999905,36.60843277,36.5,0,0,710.5301574
FER027-57309120M00D00-day1,2025-11-22 11:24:33.632000-05:00,57309120M00D00,FER027,AAR_Constant_Temp,GSK5730912,1,38.1,1.14,98.4,2.93,0.72,7.105,37.20703125,36.5,0,0,738.1
FER027-57309120M00D00-day2,2025-11-23 08:14:12.847000-05:00,57309120M00D00,FER027,AAR_Constant_Temp,GSK5730912,2,69.6,2.65,98.3,3.12,1.11,6.949999809,37.46744919,36.5,10.10681629,1.37E-05,737.2289441
FER027-57309120M00D00-day3,2025-11-24 08:55:09.795000-05:00,57309120M00D00,FER027,AAR_Constant_Temp,GSK5730912,3,136,4.41,98.8,3.86,2.31,7.002543449,37.5054245,36.5,21989.88867,0.028937458,759.5616068
FER027-57309120M00D00-day4,2025-11-25 08:31:34.685000-05:00,57309120M00D00,FER027,AAR_Constant_Temp,GSK5730912,4,267.4,7.71,99.3,4.67,3.75,6.949999809,37.00810242,36.5,44659.75,0.028967028,782.6091544
FER027-57309120M00D00-day5,2025-11-26 08:34:55.952000-05:00,57309120M00D00,FER027,AAR_Constant_Temp,GSK5730912,5,472,9.96,96.8,5.11,4.94,6.996638298,37.20341492,36.5,61794.40625,0.021214615,807.6817017
FER027-57309120M00D00-day6,2025-11-27 09:21:32.920000-05:00,57309120M00D00,FER027,AAR_Constant_Temp,GSK5730912,6,797.6,11.46,97.1,5.01,5.55,6.952639103,36.58130646,36.5,64963.74609,0.003912779,809.9971096
FER027-57309120M00D00-day7,2025-11-28 09:04:34.734000-05:00,57309120M00D00,FER027,AAR_Constant_Temp,GSK5730912,7,1163.3,12.91,95.6,6.81,5.79,6.992065907,36.60300827,36.5,74338.46094,0.011280212,831.0761145
FER027-57309120M00D00-day8,2025-11-29 08:39:21.272000-05:00,57309120M00D00,FER027,AAR_Constant_Temp,GSK5730912,8,1551,13.32,94.5,7.17,5.79,6.949999809,36.78747177,36.5,99188.39844,0.028849076,861.3772426
FER027-57309120M00D00-day9,2025-11-30 08:54:44.671000-05:00,57309120M00D00,FER027,AAR_Constant_Temp,GSK5730912,9,1983.9,14.25,93.1,7.09,6.04,7.001262665,36.88693619,36.5,99209.82031,2.48E-05,865.4212804
FER027-57309120M00D00-day10,2025-12-01 08:42:53.649000-05:00,57309120M00D00,FER027,AAR_Constant_Temp,GSK5730912,10,2332.9,13.47,90,6.82,6.57,6.98715353,36.63917923,36.5,99231.19531,2.46E-05,870.0143686
FER027-57309120M00D00-day11,2025-12-02 08:44:36.569000-05:00,57309120M00D00,FER027,AAR_Constant_Temp,GSK5730912,11,2538,12.44,88,6.9,7.74,6.993771076,36.43301392,36.5,125246.3203,0.0288437,901.9343951
FER027-57309120M00D00-day12,2025-12-03 08:59:56.904000-05:00,57309120M00D00,FER027,AAR_Constant_Temp,GSK5730912,12,2742.4,13.63,85.1,6.56,8.29,6.994817734,36.11111069,36.5,125256.4219,1.11E-05,906.329533
FER027-57309120M00D00-day13,2025-12-04 09:28:47.458000-05:00,57309120M00D00,FER027,AAR_Constant_Temp,GSK5730912,13,2798.8,12.45,82,6.29,8.7,7.012525559,36.34982681,36.5,125266.5313,1.11E-05,910.1896048
FER027-57309120M00D00-day14,2025-12-05 10:37:26.846000-05:00,57309120M00D00,FER027,AAR_Constant_Temp,GSK5730912,14,2931.4,11.68,78.4,5.85,8.93,7.038037777,36.37695313,36.5,125276.625,1.11E-05,908.8783841
